floor_type,lx_ft,ly_ft,story_ht_ft,live_psf,method,h_in,sw_psf,vol_per_area_in,M0_kipft,qu_psf,punch_ratio,punch_ok,vu_max_psi,has_studs,n_stud_cols,stud_rails_max,stud_per_rail_max,defl_ratio,defl_ok,defl_in,defl_limit_in,col_min_in,col_max_in,col_rho_max,As_cs_in2,As_ms_in2,As_total_in2,integrity_ok,n_transfer_bars,runtime_s,h_drop_in,a_drop1_ft,a_drop2_ft,fdn_n_sized,fdn_n_groups,fdn_max_B_ft,fdn_max_L_ft,fdn_max_D_in,fdn_max_util,fdn_conc_vol_ft3,fdn_steel_vol_in3,fdn_ok,min_h_rule,LD_ratio,ddm_eligible
flat_slab,16.0,16.0,12.007874015748031,80.0,EFM (HC),5.5,68.09850032847775,5.5,81.21783294286739,233.71820039417327,0.6555505322034085,true,99.82471143002735,false,0,0,0,0.1550582412043664,true,0.0827519922438001,0.5336832895888015,20.0,35.999999999999986,0.041666666666666664,10.399999999999999,2.4,12.8,false,0,1.01,2.25,2.6684164479440073,2.6684164479440073,16,3,3.75,3.75,12.0,0.971,141.8,1725.4,true,nomin,0.8695652173913043,true
flat_slab,16.0,20.0,12.007874015748031,50.0,EFM (HC),5.5,68.09850032847775,5.5,81.95257796819203,185.71820039417332,0.6072477600033969,true,88.80569180354195,false,0,0,0,0.09691140075272912,true,0.05171999515237513,0.5336832895888015,17.0,34.999999999999986,0.041666666666666664,10.6,2.8000000000000003,13.4,false,2,0.509,2.25,2.6684164479440073,3.335520559930009,16,3,3.75,3.75,12.0,0.965,141.8,1725.4,true,nomin,0.45454545454545453,true
flat_slab,16.0,20.0,12.007874015748031,80.0,MDDM,5.0,61.9077275713434,5.0,98.6491408783723,230.00373673989264,0.8986220836800817,true,126.08927220010939,false,0,0,0,0.20638251904301166,true,0.11014290167649794,0.5336832895888015,34.999999999999986,34.999999999999986,0.027777777777777776,9.6,2.8000000000000003,12.399999999999999,false,0,0.472,2.25,2.6684164479440073,3.335520559930009,16,3,4.25,4.25,12.0,0.919,169.2,1915.0,true,nomin,0.7272727272727273,true
flat_slab,16.0,20.0,12.007874015748031,80.0,DDM (Full),5.0,61.9077275713434,5.0,98.6491408783723,230.00373673989264,0.8986220836800817,true,126.08927220010939,false,0,0,0,0.20638251904301172,true,0.11014290167649797,0.5336832895888015,34.999999999999986,34.999999999999986,0.03013888888888889,10.399999999999999,2.8000000000000003,13.199999999999998,true,0,0.432,2.25,2.6684164479440073,3.335520559930009,16,3,4.25,4.25,12.0,0.919,169.2,1915.0,true,nomin,0.7272727272727273,true
flat_slab,16.0,20.0,12.007874015748031,80.0,EFM (HC),5.999999999999999,74.2892730856121,5.999999999999999,104.41830254062916,241.14712770273448,0.6711845984543371,true,102.08349784740108,false,0,0,0,0.11943432814989097,true,0.06374010513686221,0.5336832895888015,28.999999999999993,34.999999999999986,0.061111111111111116,12.599999999999998,2.8000000000000003,15.399999999999999,false,0,0.495,2.25,2.6684164479440073,3.335520559930009,16,3,4.25,4.25,12.0,0.979,169.2,1915.0,true,nomin,0.7272727272727273,true
flat_slab,16.0,20.0,12.007874015748031,80.0,EFM (ASAP),5.999999999999999,74.2892730856121,5.999999999999999,104.41830254062916,241.14712770273448,0.6711845984543371,true,102.08349784740108,false,0,0,0,0.11943432814989106,true,0.06374010513686226,0.5336832895888015,28.999999999999993,34.999999999999986,0.07680555555555556,12.600000000000001,2.8000000000000003,15.400000000000002,false,0,0.435,2.25,2.6684164479440073,3.335520559930009,16,3,4.25,4.25,12.0,0.979,169.2,1915.0,true,nomin,0.7272727272727273,true
flat_slab,16.0,20.0,12.007874015748031,80.0,FEA,5.5,68.09850032847775,5.5,102.16534045484192,233.71820039417327,0.7076290580307427,true,103.4857469681853,false,0,0,0,0.5534786298120217,true,0.2953822958751822,0.5336832895888015,28.999999999999993,34.999999999999986,0.062,8.600000000000001,3.2,11.8,true,8,34.462,2.25,2.6684164479440073,3.335520559930009,16,3,4.25,4.25,12.0,0.949,169.2,1915.0,true,nomin,0.7272727272727273,true
flat_slab,16.0,24.0,12.007874015748031,40.0,EFM (HC),5.0,61.9077275713434,5.0,84.59407342468498,162.28927308561208,0.7104217799952607,true,96.59343635212008,false,0,0,0,0.10319125952150582,true,0.055071450838248964,0.5336832895888015,20.0,35.999999999999986,0.042777777777777776,12.399999999999999,3.5999999999999996,15.999999999999998,true,4,0.47,2.25,2.6684164479440073,4.002624671916012,16,3,4.0,4.0,12.0,0.941,149.5,1782.2,true,nomin,0.31250000000000006,true
flat_slab,16.0,24.0,12.007874015748031,50.0,EFM (HC),5.5,68.09850032847775,5.5,96.5006521328269,185.71820039417332,0.6825592337427699,true,96.48467864671026,false,0,0,0,0.09691140075272904,true,0.05171999515237509,0.5336832895888015,22.0,35.999999999999986,0.058333333333333334,12.600000000000001,3.5999999999999996,16.2,false,4,0.421,2.25,2.6684164479440073,4.002624671916012,16,3,4.25,4.25,12.0,0.905,169.2,1915.0,true,nomin,0.39062500000000006,true
flat_slab,16.0,24.0,12.007874015748031,50.0,FEA,5.0,61.9077275713434,5.0,93.52280269239286,178.28927308561205,0.7296755707690923,true,99.2113034643327,false,0,0,0,0.7985713657134895,true,0.42618419342539693,0.5336832895888015,25.999999999999996,35.999999999999986,0.0496,8.8,3.5999999999999996,12.400000000000002,true,12,32.574,2.25,2.6684164479440073,4.002624671916012,16,3,4.0,4.0,12.0,0.977,161.0,1858.1,true,nomin,0.39062500000000006,true
flat_slab,16.0,24.0,12.007874015748031,80.0,MDDM,5.5,68.09850032847775,5.5,120.65198828941027,237.43266404845386,0.8726223756985193,true,123.3514768198568,false,0,0,0,0.1550582412043664,true,0.0827519922438001,0.5336832895888015,35.999999999999986,35.999999999999986,0.034444444444444444,10.4,3.5999999999999996,14.0,false,0,0.478,2.25,2.6684164479440073,4.002624671916012,16,3,4.75,4.75,12.0,0.97,199.8,2844.0,true,nomin,0.6250000000000001,true
flat_slab,16.0,24.0,12.007874015748031,80.0,DDM (Full),5.5,68.09850032847775,5.5,120.65198828941027,237.43266404845386,0.8726223756985193,true,123.3514768198568,false,0,0,0,0.1550582412043664,true,0.0827519922438001,0.5336832895888015,35.999999999999986,35.999999999999986,0.041666666666666664,11.2,3.5999999999999996,14.799999999999999,false,0,1.206,2.25,2.6684164479440073,4.002624671916012,16,3,4.75,4.75,12.0,0.97,199.8,2844.0,true,nomin,0.6250000000000001,true
flat_slab,16.0,24.0,12.007874015748031,80.0,EFM (HC),5.999999999999999,74.2892730856121,5.999999999999999,122.53950206984887,241.14712770273448,0.7566395864448484,true,110.98727119764757,false,0,0,0,0.11943432814989106,true,0.06374010513686226,0.5336832895888015,35.999999999999986,35.999999999999986,0.042777777777777776,15.2,3.5999999999999996,18.8,false,2,0.491,2.25,2.6684164479440073,4.002624671916012,16,3,4.75,4.75,12.0,0.937,213.2,2957.8,true,nomin,0.6250000000000001,true
