floor_type,lx_ft,ly_ft,story_ht_ft,live_psf,method,h_in,h_min_in,h_over_h_min,sw_psf,vol_per_area_in,M0_kipft,qu_psf,punch_ratio,punch_ok,vu_max_psi,has_studs,n_stud_cols,stud_rails_max,stud_per_rail_max,defl_ratio,defl_ok,defl_in,defl_limit_in,col_min_in,col_max_in,col_rho_max,As_cs_in2,As_ms_in2,As_total_in2,integrity_ok,n_transfer_bars,pattern_loading,runtime_s,h_drop_in,a_drop1_ft,a_drop2_ft,failures,fdn_n_sized,fdn_n_groups,fdn_max_B_ft,fdn_max_L_ft,fdn_max_D_in,fdn_max_util,fdn_conc_vol_ft3,fdn_steel_vol_in3,fdn_ok,converged,failure_reason,failing_check,min_h_rule
flat_plate,16.0,16.0,12.007874015748031,30.0,MDDM,6.404199475065617,5.39,1.188,79.29388728298053,6.404199475065617,73.60553813513874,167.1526647395766,0.984638874888068,true,186.8220910435119,false,0,0,0,0.03683151963028192,true,0.01965636655684337,0.5336832895888015,14.0,14.499999999999998,0.062,5.6,2.4,7.999999999999999,false,0,false,4.706,0.0,0.0,0.0,,16,3,3.25,3.25,12.0,0.923,117.2,1535.8,true,true,,,ACI
flat_plate,16.0,16.0,12.007874015748031,30.0,DDM (Full),6.404199475065617,5.39,1.188,79.29388728298053,6.404199475065617,73.60553813513874,167.1526647395766,0.984638874888068,true,186.8220910435119,false,0,0,0,0.03683151963028192,true,0.01965636655684337,0.5336832895888015,14.0,14.499999999999998,0.034444444444444444,5.6,2.4,7.999999999999999,false,0,false,0.069,0.0,0.0,0.0,,16,3,3.25,3.25,12.0,0.923,117.2,1535.8,true,true,,,ACI
flat_plate,16.0,16.0,12.007874015748031,30.0,EFM (HC),6.404199475065617,5.39,1.187,79.29388728298053,6.404199475065617,73.70895242655804,167.1526647395766,0.7649078733060432,true,145.1310647905563,false,0,0,0,0.03683151963028192,true,0.01965636655684337,0.5336832895888015,14.0,14.0,0.061111111111111116,6.8,2.4,9.2,false,0,false,1.909,0.0,0.0,0.0,,16,3,3.25,3.25,12.0,0.923,117.2,1535.8,true,true,,,ACI
flat_plate,16.0,16.0,12.007874015748031,30.0,EFM (ASAP),6.404199475065617,5.39,1.187,79.29388728298053,6.404199475065617,73.70895242655804,167.1526647395766,0.7567170647750194,true,143.57696814037394,false,0,0,0,0.03683151963028192,true,0.01965636655684337,0.5336832895888015,14.0,14.0,0.061111111111111116,6.8,2.4,9.2,false,0,false,0.063,0.0,0.0,0.0,,16,3,3.25,3.25,12.0,0.923,117.2,1535.8,true,true,,,ACI
flat_plate,16.0,16.0,12.007874015748031,30.0,EFM (Kc),6.404199475065617,5.38,1.191,79.29388728298053,6.404199475065617,73.24415981263928,167.1526647395766,0.9830679915354881,true,186.52403688355628,false,0,0,0,0.03683151963028192,true,0.01965636655684337,0.5336832895888015,14.0,18.5,0.043055555555555555,6.4,2.4,8.799999999999999,false,4,false,1.752,0.0,0.0,0.0,,16,3,3.25,3.25,12.0,0.923,117.2,1535.8,true,true,,,ACI
flat_plate,16.0,16.0,12.007874015748031,30.0,FEA,6.404199475065617,5.38,1.19,79.29388728298053,6.404199475065617,73.39892734181176,167.1526647395766,0.9642014480314357,true,182.9443619407087,false,0,0,0,0.06166161956778798,true,0.0329077759723103,0.5336832895888015,14.0,15.5,0.062,5.4,2.4,7.800000000000001,true,0,false,11.544,0.0,0.0,0.0,,16,3,3.25,3.25,12.0,0.923,117.2,1535.8,true,true,,,ACI
flat_plate,16.0,16.0,12.007874015748031,50.0,MDDM,6.404199475065617,5.36,1.194,79.29388728298053,6.404199475065617,86.83664886767517,199.15266473957664,0.8920687107495204,true,169.25813732030497,false,0,0,0,0.0613858660504699,true,0.03276061092807231,0.5336832895888015,14.0,18.0,0.042777777777777776,6.4,2.4,8.799999999999999,false,0,false,0.049,0.0,0.0,0.0,,16,3,3.5,3.5,12.0,0.948,124.0,1592.6,true,true,,,ACI
flat_plate,16.0,16.0,12.007874015748031,50.0,DDM (Full),6.404199475065617,5.36,1.194,79.29388728298053,6.404199475065617,86.83664886767517,199.15266473957664,0.8920687107495204,true,169.25813732030497,false,0,0,0,0.0613858660504699,true,0.03276061092807231,0.5336832895888015,14.0,18.0,0.043055555555555555,6.8,2.4,9.2,false,0,false,0.043,0.0,0.0,0.0,,16,3,3.5,3.5,12.0,0.948,124.0,1592.6,true,true,,,ACI
flat_plate,16.0,16.0,12.007874015748031,50.0,EFM (HC),6.404199475065617,5.39,1.187,79.29388728298053,6.404199475065617,87.81992386290746,199.15266473957664,0.9113431813158112,true,172.91521098130622,false,0,0,0,0.061385866050469855,true,0.03276061092807228,0.5336832895888015,14.0,14.0,0.061111111111111116,7.999999999999999,2.4,10.399999999999999,false,0,false,0.069,0.0,0.0,0.0,,16,3,3.5,3.5,12.0,0.948,124.0,1592.6,true,true,,,ACI
flat_plate,16.0,16.0,12.007874015748031,50.0,EFM (ASAP),6.404199475065617,5.39,1.187,79.29388728298053,6.404199475065617,87.81992386290746,199.15266473957664,0.9015843099997812,true,171.06359533623785,false,0,0,0,0.0613858660504699,true,0.03276061092807231,0.5336832895888015,14.0,14.0,0.061111111111111116,7.999999999999999,2.4,10.399999999999999,false,0,false,0.029,0.0,0.0,0.0,,16,3,3.5,3.5,12.0,0.948,124.0,1592.6,true,true,,,ACI
