floor_type,lx_ft,ly_ft,story_ht_ft,live_psf,method,h_in,sw_psf,vol_per_area_in,M0_kipft,qu_psf,punch_ratio,punch_ok,vu_max_psi,has_studs,n_stud_cols,stud_rails_max,stud_per_rail_max,defl_ratio,defl_ok,defl_in,defl_limit_in,col_min_in,col_max_in,col_rho_max,As_cs_in2,As_ms_in2,As_total_in2,integrity_ok,n_transfer_bars,runtime_s,h_drop_in,a_drop1_ft,a_drop2_ft
flat_plate,16.0,16.0,12.007874015748031,40.0,MDDM,6.404199475065617,79.29388728298053,6.404199475065617,77.17787036971933,183.15266473957664,0.760068311906233,true,144.21282257657833,false,0,0,0,0.04910869284037587,true,0.02620848874245782,0.5336832895888015,18.0,18.0,0.019506172839506175,5.6,2.4,7.999999999999999,false,0,0.408,0.0,0.0,0.0
flat_plate,16.0,16.0,12.007874015748031,40.0,DDM (Full),6.404199475065617,79.29388728298053,6.404199475065617,77.17787036971933,183.15266473957664,0.760068311906233,true,144.21282257657833,false,0,0,0,0.04910869284037587,true,0.02620848874245782,0.5336832895888015,18.0,18.0,0.019506172839506175,5.999999999999999,2.4,8.399999999999999,false,0,0.178,0.0,0.0,0.0
flat_plate,16.0,16.0,12.007874015748031,40.0,EFM (HC),6.404199475065617,79.29388728298053,6.404199475065617,77.17787036971933,183.15266473957664,0.9029458137151224,true,171.32192250323342,false,0,0,0,0.04910869284037587,true,0.02620848874245782,0.5336832895888015,18.0,18.0,0.019506172839506175,7.199999999999999,2.4,9.599999999999998,false,0,0.348,0.0,0.0,0.0
flat_plate,16.0,16.0,12.007874015748031,40.0,EFM (ASAP),6.404199475065617,79.29388728298053,6.404199475065617,77.17787036971933,183.15266473957664,0.8915943809715335,true,169.16813957267613,false,0,0,0,0.04910869284037587,true,0.02620848874245782,0.5336832895888015,18.0,18.0,0.019506172839506175,7.199999999999999,2.4,9.599999999999998,false,0,0.313,0.0,0.0,0.0
flat_plate,16.0,16.0,12.007874015748031,40.0,FEA,6.404199475065617,79.29388728298053,6.404199475065617,77.17787036971933,183.15266473957664,0.8886399510367557,true,168.6075759057993,false,0,0,0,0.0800281387706818,true,0.04270968035880657,0.5336832895888015,18.0,18.0,0.019506172839506175,5.8,2.4,8.2,true,0,12.345,0.0,0.0,0.0
flat_plate,16.0,16.0,12.007874015748031,50.0,MDDM,6.404199475065617,79.29388728298053,6.404199475065617,83.9200377723685,199.15266473957664,0.8264669799670636,true,156.81108405700036,false,0,0,0,0.0613858660504699,true,0.03276061092807231,0.5336832895888015,18.0,18.0,0.019506172839506175,6.199999999999999,2.4,8.6,false,0,0.839,0.0,0.0,0.0
flat_plate,16.0,16.0,12.007874015748031,50.0,DDM (Full),6.404199475065617,79.29388728298053,6.404199475065617,83.9200377723685,199.15266473957664,0.8264669799670636,true,156.81108405700036,false,0,0,0,0.0613858660504699,true,0.03276061092807231,0.5336832895888015,18.0,18.0,0.019506172839506175,6.599999999999999,2.4,8.999999999999998,false,0,0.141,0.0,0.0,0.0
flat_plate,16.0,16.0,12.007874015748031,50.0,EFM (HC),6.404199475065617,79.29388728298053,6.404199475065617,83.9200377723685,199.15266473957664,0.981826091214684,true,186.2884028651182,false,0,0,0,0.0613858660504699,true,0.03276061092807231,0.5336832895888015,18.0,18.0,0.019506172839506175,7.999999999999999,2.4,10.399999999999999,false,0,0.21,0.0,0.0,0.0
flat_plate,16.0,16.0,12.007874015748031,50.0,EFM (ASAP),6.404199475065617,79.29388728298053,6.404199475065617,83.9200377723685,199.15266473957664,0.9694830107429245,true,183.94646800710785,false,0,0,0,0.0613858660504699,true,0.03276061092807231,0.5336832895888015,18.0,18.0,0.019506172839506175,7.999999999999999,2.4,10.399999999999999,false,0,0.134,0.0,0.0,0.0
flat_plate,16.0,16.0,12.007874015748031,50.0,FEA,6.404199475065617,79.29388728298053,6.404199475065617,83.9200377723685,199.15266473957664,0.9699281744253504,true,184.03093187719108,false,0,0,0,0.10073084579907446,true,0.05375836914911236,0.5336832895888015,18.0,18.0,0.019506172839506175,6.4,2.4,8.799999999999999,false,0,4.21,0.0,0.0,0.0
